snapshot_date,mpn,source,status,http_status,match_type,matched_mpn,lead_time_weeks,detail,collected_at
2026-08-15,STM32F103VCH6,digikey,ok,200.0,exact,STM32F103VCH6,52.0,,2026-08-15T20:23:49+00:00
2026-08-15,STM32F103ZCT6TR,digikey,ok,200.0,exact,STM32F103ZCT6TR,52.0,,2026-08-15T20:23:50+00:00
2026-08-15,STM32F103ZCH6,digikey,ok,200.0,exact,STM32F103ZCH6,52.0,,2026-08-15T20:23:51+00:00
2026-08-15,STM32F103RBH6,digikey,ok,200.0,exact,STM32F103RBH6,52.0,,2026-08-15T20:23:52+00:00
2026-08-15,STM32F103VFT7,digikey,ok,200.0,exact,STM32F103VFT7,52.0,,2026-08-15T20:23:54+00:00
2026-08-15,STM32F103RDY6TR,digikey,ok,200.0,exact,STM32F103RDY6TR,52.0,,2026-08-15T20:23:55+00:00
2026-08-15,STM32F103VDT6TR,digikey,ok,200.0,exact,STM32F103VDT6TR,52.0,,2026-08-15T20:23:56+00:00
2026-08-15,STM32F103ZDH6,digikey,ok,200.0,exact,STM32F103ZDH6,52.0,,2026-08-15T20:23:57+00:00
2026-08-15,STM32F103T4U6A,digikey,ok,200.0,exact,STM32F103T4U6A,40.0,,2026-08-15T20:23:58+00:00
2026-08-15,STM32F103T8U7TR,digikey,ok,200.0,exact,STM32F103T8U7TR,40.0,,2026-08-15T20:24:00+00:00
2026-08-15,STM32F103RDT6TR,digikey,ok,200.0,exact,STM32F103RDT6TR,52.0,,2026-08-15T20:24:01+00:00
2026-08-15,STM32F103R4H6A,digikey,ok,200.0,exact,STM32F103R4H6A,52.0,,2026-08-15T20:24:02+00:00
2026-08-15,STM32F103C6U6A,digikey,ok,200.0,exact,STM32F103C6U6A,40.0,,2026-08-15T20:24:03+00:00
2026-08-15,STM32F103R6H6A,digikey,ok,200.0,exact,STM32F103R6H6A,52.0,,2026-08-15T20:24:04+00:00
2026-08-15,STM32F103VDT7,digikey,ok,200.0,exact,STM32F103VDT7,52.0,,2026-08-15T20:24:05+00:00
2026-08-15,STM32F103TBU7,digikey,ok,200.0,exact,STM32F103TBU7,40.0,,2026-08-15T20:24:07+00:00
2026-08-15,STM32F103ZFH6,digikey,ok,200.0,exact,STM32F103ZFH6,52.0,,2026-08-15T20:24:08+00:00
2026-08-15,STM32F103C6T6ATR,digikey,ok,200.0,exact,STM32F103C6T6ATR,40.0,,2026-08-15T20:24:09+00:00
2026-08-15,STM32F103R8H7,digikey,ok,200.0,exact,STM32F103R8H7,52.0,,2026-08-15T20:24:11+00:00
2026-08-15,STM32F103ZGH7,digikey,ok,200.0,exact,STM32F103ZGH7,52.0,,2026-08-15T20:24:12+00:00
2026-08-15,STM32F103T8U6TR,digikey,ok,200.0,exact,STM32F103T8U6TR,40.0,,2026-08-15T20:24:13+00:00
2026-08-15,STM32F103R8H6,digikey,ok,200.0,exact,STM32F103R8H6,52.0,,2026-08-15T20:24:14+00:00
2026-08-15,STM32F103VDH6,digikey,ok,200.0,exact,STM32F103VDH6,52.0,,2026-08-15T20:24:16+00:00
2026-08-15,STM32F103ZET7,digikey,ok,200.0,exact,STM32F103ZET7,52.0,,2026-08-15T20:24:17+00:00
2026-08-15,STM32F103R4T6A,digikey,ok,200.0,exact,STM32F103R4T6A,52.0,,2026-08-15T20:24:18+00:00
2026-08-15,STM32F103ZGH6TR,digikey,ok,200.0,exact,STM32F103ZGH6TR,52.0,,2026-08-15T20:24:19+00:00
2026-08-15,STM32F103R6T7A,digikey,ok,200.0,exact,STM32F103R6T7A,52.0,,2026-08-15T20:24:21+00:00
2026-08-15,STM32F103VBH7,digikey,ok,200.0,exact,STM32F103VBH7,52.0,,2026-08-15T20:24:22+00:00
2026-08-15,STM32F103VBT6TR,digikey,ok,200.0,exact,STM32F103VBT6TR,52.0,,2026-08-15T20:24:23+00:00
2026-08-15,STM32F103ZCT7,digikey,ok,200.0,exact,STM32F103ZCT7,52.0,,2026-08-15T20:24:24+00:00
2026-08-15,STM32F103RBT7TR,digikey,ok,200.0,exact,STM32F103RBT7TR,52.0,,2026-08-15T20:24:26+00:00
2026-08-15,STM32F103RBH7,digikey,ok,200.0,exact,STM32F103RBH7,52.0,,2026-08-15T20:24:27+00:00
2026-08-15,STM32F103CBT7TR,digikey,ok,200.0,exact,STM32F103CBT7TR,40.0,,2026-08-15T20:24:28+00:00
2026-08-15,STM32F103ZDH6TR,digikey,ok,200.0,exact,STM32F103ZDH6TR,52.0,,2026-08-15T20:24:29+00:00
2026-08-15,STM32F103RGT7,digikey,ok,200.0,exact,STM32F103RGT7,52.0,,2026-08-15T20:24:31+00:00
2026-08-15,STM32F103TBU6TR,digikey,ok,200.0,exact,STM32F103TBU6TR,40.0,,2026-08-15T20:24:32+00:00
2026-08-15,STM32F103VDH6TR,digikey,ok,200.0,exact,STM32F103VDH6TR,52.0,,2026-08-15T20:24:33+00:00
2026-08-15,STM32F103C8T7TR,digikey,ok,200.0,exact,STM32F103C8T7TR,40.0,,2026-08-15T20:24:35+00:00
2026-08-15,ATMEGA328PB-MUR,digikey,ok,200.0,exact,ATMEGA328PB-MUR,33.0,,2026-08-15T20:24:36+00:00
2026-08-15,ATMEGA328PB-ANR,digikey,ok,200.0,exact,ATMEGA328PB-ANR,7.0,,2026-08-15T20:24:37+00:00
2026-08-15,ATMEGA328P-MMHR,digikey,ok,200.0,exact,ATMEGA328P-MMHR,28.0,,2026-08-15T20:24:38+00:00
2026-08-15,ATMEGA328PB-AUR,digikey,ok,200.0,exact,ATMEGA328PB-AUR,20.0,,2026-08-15T20:24:39+00:00
2026-08-15,ATMEGA328P-ANR,digikey,ok,200.0,exact,ATMEGA328P-ANR,19.0,,2026-08-15T20:24:40+00:00
2026-08-15,ATMEGA328P-PU,digikey,ok,200.0,exact,ATMEGA328P-PU,32.0,,2026-08-15T20:24:42+00:00
2026-08-15,ATMEGA328PB-MN,digikey,ok,200.0,exact,ATMEGA328PB-MN,33.0,,2026-08-15T20:24:42+00:00
2026-08-15,ATMEGA328-PU,digikey,ok,200.0,exact,ATMEGA328-PU,19.0,,2026-08-15T20:24:44+00:00
2026-08-15,ATMEGA328P-MU,digikey,ok,200.0,exact,ATMEGA328P-MU,4.0,,2026-08-15T20:24:45+00:00
2026-08-15,ATMEGA328-AU,digikey,ok,200.0,exact,ATMEGA328-AU,19.0,,2026-08-15T20:24:46+00:00
2026-08-15,ATMEGA328PB-MU,digikey,ok,200.0,exact,ATMEGA328PB-MU,22.0,,2026-08-15T20:24:48+00:00
2026-08-15,ATMEGA328P-PN,digikey,ok,200.0,exact,ATMEGA328P-PN,19.0,,2026-08-15T20:24:49+00:00
2026-08-15,ATMEGA328P-AUR,digikey,ok,200.0,exact,ATMEGA328P-AUR,28.0,,2026-08-15T20:24:51+00:00
2026-08-15,ATMEGA328PB-AU,digikey,ok,200.0,exact,ATMEGA328PB-AU,20.0,,2026-08-15T20:24:52+00:00
2026-08-15,ATMEGA328P-AN,digikey,ok,200.0,exact,ATMEGA328P-AN,19.0,,2026-08-15T20:24:53+00:00
2026-08-15,ATMEGA328PB-AN,digikey,ok,200.0,exact,ATMEGA328PB-AN,21.0,,2026-08-15T20:24:55+00:00
2026-08-15,ATMEGA328P-AU,digikey,ok,200.0,exact,ATMEGA328P-AU,19.0,,2026-08-15T20:24:56+00:00
2026-08-15,2488,digikey,ok,200.0,exact,2488,10.0,,2026-08-15T20:24:58+00:00
2026-08-15,ATMEGA328P-MUR,digikey,ok,200.0,exact,ATMEGA328P-MUR,4.0,,2026-08-15T20:24:59+00:00
2026-08-15,ATMEGA328-MU,digikey,ok,200.0,exact,ATMEGA328-MU,21.0,,2026-08-15T20:25:00+00:00
2026-08-15,ATMEGA328P-MMH,digikey,ok,200.0,exact,ATMEGA328P-MMH,23.0,,2026-08-15T20:25:02+00:00
2026-08-15,ATMEGA328-AUR,digikey,ok,200.0,exact,ATMEGA328-AUR,19.0,,2026-08-15T20:25:03+00:00
2026-08-15,ATMEGA328-MUR,digikey,ok,200.0,exact,ATMEGA328-MUR,26.0,,2026-08-15T20:25:04+00:00
2026-08-15,ATMEGA328PB-MNR,digikey,ok,200.0,exact,ATMEGA328PB-MNR,33.0,,2026-08-15T20:25:06+00:00
2026-08-15,ATMEGA328P-XMINI,digikey,ok,200.0,exact,ATMEGA328P-XMINI,12.0,,2026-08-15T20:25:07+00:00
2026-08-15,ATMEGA328P-MN,digikey,ok,200.0,exact,ATMEGA328P-MN,30.0,,2026-08-15T20:25:08+00:00
2026-08-15,ATMEGA328-MMH,digikey,ok,200.0,exact,ATMEGA328-MMH,23.0,,2026-08-15T20:25:10+00:00
2026-08-15,ATMEGA328PB-XMINI,digikey,ok,200.0,exact,ATMEGA328PB-XMINI,12.0,,2026-08-15T20:25:11+00:00
2026-08-15,ATMEGA328-MMHR,digikey,ok,200.0,exact,ATMEGA328-MMHR,23.0,,2026-08-15T20:25:12+00:00
2026-08-15,ATMEGA328P-MNR,digikey,ok,200.0,exact,ATMEGA328P-MNR,21.0,,2026-08-15T20:25:13+00:00
2026-08-15,ATMEGA328P-15AZ,digikey,no_match,200.0,,,,catalog returned 0 products,2026-08-15T20:25:15+00:00
2026-08-15,ATMEGA328PB-AUVAO,digikey,no_match,200.0,,,,catalog returned 0 products,2026-08-15T20:25:16+00:00
2026-08-15,2000,digikey,ok,200.0,exact,2000,3.0,,2026-08-15T20:25:17+00:00
2026-08-15,A000005,digikey,ok,200.0,exact,A000005,22.0,,2026-08-15T20:25:18+00:00
2026-08-15,A000073,digikey,ok,200.0,exact,A000073,22.0,,2026-08-15T20:25:20+00:00
2026-08-15,A000066,digikey,ok,200.0,exact,A000066,18.0,,2026-08-15T20:25:21+00:00
2026-08-15,ATMEGA328P-W-NG,digikey,no_match,200.0,,,,catalog returned 0 products,2026-08-15T20:25:22+00:00
2026-08-15,K000007,digikey,ok,200.0,exact,K000007,9.0,,2026-08-15T20:25:23+00:00
2026-08-15,ATMEGA328P-15MZ,digikey,no_match,200.0,,,,catalog returned 0 products,2026-08-15T20:25:26+00:00
2026-08-15,WPK501,digikey,no_lead_time,200.0,exact,WPK501,,"product found, ManufacturerLeadWeeks empty",2026-08-15T20:25:26+00:00
2026-08-15,ATMEGA328PB-ABTVAO,digikey,no_match,200.0,,,,catalog returned 0 products,2026-08-15T20:25:28+00:00
2026-08-15,ATMEGA328PB-AURVAO,digikey,no_match,200.0,,,,catalog returned 0 products,2026-08-15T20:25:29+00:00
2026-08-15,ATMEGA328PB-MBTVAO,digikey,no_match,200.0,,,,catalog returned 0 products,2026-08-15T20:25:29+00:00
2026-08-15,ATMEGA328PAU,digikey,ok,200.0,exact,ATMEGA328P-AU,19.0,,2026-08-15T20:25:30+00:00
2026-08-15,68,digikey,ok,200.0,exact,68,11.0,,2026-08-15T20:25:32+00:00
2026-08-15,DEV-10524,digikey,ok,200.0,contains,10524,12.0,,2026-08-15T20:25:33+00:00
2026-08-15,50,digikey,ok,200.0,exact,50,2.0,,2026-08-15T20:25:35+00:00
